层级,职业编码,职业名称,职业描述,主要工作任务,parent_code,l2_prefix,category,core_actions,objects,deliverables,main_kpi,environment,served_population,role_level
四级,1-04-01-03,妇联负责人,在中华全国妇女联合会各级组织及其工作机构中，担任领导职务的专职人员。,"1.根据中国共产党的路线、方针、政策和党中央决策部署，组织制定妇联工作的指导方针、目标和任务
2.履行党和政府引领服务联系妇女群众职责，参与妇女儿童和家庭工作重大问题决策，向党和政府及有关部门提出意见和建议
3.代表和组织妇女参与国家和社会事务管理和民主监督等工作，代表妇女参与有关法律法规和政策制定
4.组织妇女儿童发展和权益保障状况及其重大问题研究，协助有关部门开展妇女儿童和家庭工作
5.承办党和政府及有关部门委托的其他事项。",1-04-01,1-04,1类-管理决策,"[""制定妇联工作方针"", ""参与妇女儿童重大决策"", ""组织妇女民主监督"", ""组织权益保障研究""]","[""妇联工作目标"", ""妇女儿童权益"", ""法律法规政策"", ""妇女群众""]","[""妇联年度工作计划"", ""妇女儿童工作建议书"", ""权益保障研究报告""]","""无明确指标""","[""妇联办公区"", ""基层妇女活动中心"", ""政府办公会议室""]","[""妇女群众"", ""儿童"", ""家庭""]",全面经营负责
四级,1-04-01-04,其他人民团体和群众团体负责人,在文联、作协、科协、侨联、法学会、对外友协、记协、台联、贸促会、残联、红十字会、外交学会、宋庆龄基金会、黄埔同学会、欧美同学会、中国政研会、中华职教社、中国计生协等人民团体和群众团体各级机构中，担任领导职务并具有决策、管理职权的人员。,,1-04-01,1-04,1类-管理决策,"[""制定组织发展战略"", ""配置团体资源"", ""决策团体事务"", ""管理团体成员""]","[""人民团体组织资源"", ""群众团体管理制度"", ""团体成员""]","[""人民团体年度工作报告"", ""组织发展规划"", ""管理决策文件""]","""组织目标达成率""","[""人民团体办公区"", ""群众团体会议室""]","[""团体会员"", ""社会公众"", ""上级主管单位""]",全面经营负责
四级,1-04-02-00,社会团体负责人,在学术性、联合性、经济性、慈善性社会团体和专业性学术团体中，担任领导职务的人员。,"1.召集和主持理事会或常务理事会
2.代表常务理事会做年度工作报告
3.推荐秘书长候选人，根据工作需要，核定秘书长聘请的工作人员和办事机构
4.聘任社团顾问和专务理事
5.检查会员大会或会员代表大会、理事会或常务理事会决议的落实情况
6.代表社团签署有关重要文件
7.参与研究和制定工作方针
8.行使章程和理事会赋予的其他职权。",1-04-02,1-04,1类-管理决策,"[""召集主持理事会"", ""制定工作方针"", ""核定办事机构"", ""聘任社团顾问"", ""签署重要文件""]","[""理事会决议"", ""社团工作方针"", ""社团人事名单"", ""社团重要文件""]","[""社会团体年度工作报告"", ""社团重要签署文件"", ""社团工作方针""]","""无明确指标""","[""社会团体办公区"", ""理事会会议室""]","[""社团会员"", ""社团工作人员"", ""社团顾问""]",全面经营负责
四级,1-04-03-00,社会服务机构负责人,在企业事业单位、社会团体和其他社会力量以及公民个人利用非国有资产举办的从事非营利性社会服务活动的社会组织中，担任领导职务的人员。,"1.召集和主持理事会或常务理事会会议
2.负责非营利性社会服务活动的组织与管理
3.代表社会服务机构签署有关重要文件
4.行使章程规定的其他职权。",1-04-03,1-04,1类-管理决策,"[""召集主持理事会会议"", ""组织管理社会服务活动"", ""签署机构重要文件"", ""执行机构章程职权""]","[""理事会会议"", ""非营利性社会服务活动"", ""机构重要文件"", ""机构章程""]","[""理事会会议纪要"", ""社会服务活动计划"", ""签署的机构协议""]","""社会服务活动达成率""","[""社会服务机构办公区"", ""理事会会议室""]","[""社会公众"", ""服务受益群体""]",全面经营负责
四级,1-04-04-00,社会中介组织负责人,在依法成立的提供服务、沟通、公证和部分监督性质社会管理工作的非政府社会组织中，担任领导职务的人员。,,1-04-04,1-04,1类-管理决策,"[""制定组织发展规划"", ""调度社会服务资源"", ""协调社会沟通事务"", ""监督社会管理工作""]","[""非政府社会组织"", ""社会服务资源"", ""社会管理事务""]","[""社会组织年度工作报告"", ""组织管理制度"", ""社会服务项目方案""]","""社会服务覆盖率""","[""社会组织办公区"", ""社区服务中心"", ""行业协会会议室""]","[""社会公众"", ""成员单位"", ""政府监管部门""]",全面经营负责
四级,1-04-05-00,基金会负责人,在利用捐赠的财产从事公益事业的非营利性法人机构中，担任领导职务的人员。,"1.召集和主持理事会会议
2.组织实施和检查理事会决议的落实情况
3.代表基金会签署重要文件
4.拟定基金会内部管理规章制度并报理事会审批
5.拟定基金会公益活动计划，资金筹集、管理和使用计划
6.提议聘任或解聘有关工作人员并报理事会决定
7.履行章程和理事会赋予的其他工作职责。",1-04-05,1-04,1类-管理决策,"[""召集主持理事会会议"", ""组织实施理事会决议"", ""拟定内部管理制度"", ""拟定公益活动与资金计划"", ""提议人员聘任解聘""]","[""理事会决议"", ""内部管理规章制度"", ""公益活动计划"", ""基金会资金""]","[""基金会内部管理制度"", ""基金会公益活动计划"", ""基金会资金使用计划""]","""公益目标达成率""","[""基金会办公区"", ""基金会会议室""]","[""捐赠人"", ""公益事业受益人"", ""基金会理事会""]",全面经营负责
四级,1-04-06-00,宗教组织负责人,在佛教、道教、伊斯兰教、天主教、基督教等宗教组织中，担任领导职务的人员。,"1.负责宗教组织中宗教事务的组织与管理
2.行使宗教管理相关法律规定的其他职权。",1-04-06,1-04,1类-管理决策,"[""组织宗教事务"", ""管理宗教事务"", ""行使宗教管理职权""]","[""宗教组织"", ""宗教事务"", ""宗教管理法律法规""]","[""宗教组织年度工作报告"", ""宗教事务管理制度"", ""宗教活动计划书""]","""宗教事务合规率""","[""宗教场所办公区"", ""宗教活动场所""]","[""信教群众"", ""宗教组织成员"", ""宗教管理部门""]",全面经营负责
四级,1-05-00-01,居民委员会负责人,在居民委员会中，担任领导职务的人员。,"1.依法负责居民委员会日常管理工作
2.行使法律规定的其他职权。",1-05-00,1-05,1类-管理决策,"[""管理居民委员会日常工作"", ""行使法定管理职权"", ""组织社区公共事务""]","[""居民委员会"", ""社区公共资源"", ""基层管理制度""]","[""居民委员会年度工作报告"", ""社区管理计划"", ""居民会议决议""]","""社区治理满意度""","[""居民委员会办公区"", ""社区活动中心""]","[""社区居民"", ""街道办事处""]",全面经营负责
四级,1-05-00-02,村民委员会负责人,在村民委员会中，担任领导职务的人员。,"1.依法负责村民委员会日常管理工作
2.行使法律规定的其他职权。",1-05-00,1-05,1类-管理决策,"[""管理村委会日常事务"", ""行使法定职权"", ""组织村民会议"", ""决策村级公共事务""]","[""村民委员会"", ""村级公共资源"", ""村级行政事务""]","[""村委会年度工作报告"", ""村民会议决议"", ""村务公开记录""]","""村务管理满意度""","[""村民委员会办公室"", ""村民活动中心"", ""农村基层现场""]","[""本村村民"", ""上级乡镇政府""]",全面经营负责
四级,1-06-01-01,企业董事,在企业中，具有最高决策权的董事会组成人员。,"1.负责召集股东大会，向股东大会报告工作，执行股东大会决议
2.决定企业经营计划和投资方案
3.审定企业年度财务预决算方案，利润分配方案和弥补亏损方案，增加或减少注册资本方案及其规定职权范围内的其他方案
4.制定企业合并、分立、解散等职权规定的方案
5.聘任或解聘企业经理，并根据经理提名，聘任或解聘企业副经理、财务负责人，决定其报酬事项
6.审议企业内基本制度。",1-06-01,1-06,1类-管理决策,"[""召集股东大会"", ""决定经营投资方案"", ""审定财务预决算方案"", ""聘任解聘高级管理人员"", ""审议企业基本制度""]","[""企业经营投资方案"", ""财务预决算方案"", ""企业高级管理人员"", ""企业基本制度""]","[""企业年度工作报告"", ""企业经营投资方案"", ""企业财务预决算方案""]","""企业经营绩效""","[""企业董事会会议室"", ""股东大会现场""]","[""企业股东"", ""投资者""]",全面经营负责
四级,1-06-01-02,企业经理,在企业中，经董事会或出资人聘任，或经职代会选举、或经上级任命的企业负责人。,"1.执行董事会和个人独资、合伙制企业出资人决议或职工代表大会作出的决定
2.领导企业日常经营管理工作
3.拟定或决定企业内部机构设置
4.按公司规定的职权范围，行使人事聘任、解聘或任免权
5.决定或议定企业的基本规章制度
6.行使相关法律规定的其他职权。",1-06-01,1-06,1类-管理决策,"[""执行董事会决议"", ""领导企业经营管理"", ""决定内部机构设置"", ""行使人事任免权"", ""制定企业规章制度""]","[""董事会决议"", ""企业经营活动"", ""企业内部机构"", ""企业管理人员"", ""企业规章制度""]","[""企业内部机构设置方案"", ""企业规章制度文件"", ""企业年度经营报告""]","""企业经营业绩""","[""企业办公区"", ""企业会议室""]","[""董事会"", ""企业出资人"", ""企业员工""]",全面经营负责
四级,1-06-01-03,国有企业中国共产党组织负责人,在国有企业中国共产党组织中，担任领导职务的人员。,"1.负责召集并主持企业党组织会议，组织传达、贯彻落实党和国家的路线、方针、政策以及上级党委的决议，讨论安排党组织的工作计划并组织实施，依规讨论决定企业重大事项
2.负责企业党组织的思想、组织、制度、作风和能力建设以及企业领导班子的思想政治建设，检查企业党组织决议的执行情况，定期向党的委员会和党员大会及上级党委报告工作
3.按照法定程序考察、推荐公司中层以上管理人员，支持股东会、董事会、监事会和经营管理者依法行使职权
4.领导企业职工代表大会和工会、共青团等群众组织。",1-06-01,1-06,1类-管理决策,"[""主持党组织会议"", ""贯彻落实党政政策"", ""决定企业重大事项"", ""考察推荐中层管理人员"", ""领导群众组织""]","[""企业党组织"", ""企业重大事项"", ""中层以上管理人员"", ""企业群众组织""]","[""企业党组织工作计划"", ""企业党组织工作报告"", ""管理人员考察推荐意见""]","""党政政策落实率""","[""国有企业办公区"", ""党组织会议室""]","[""企业党员"", ""企业职工"", ""上级党委""]",全面经营负责
四级,1-06-02-00,事业单位负责人,在教育、科技、文化、卫生等事业单位中，担任领导职务并具有决策、管理职权的人员。,"1.制定本单位事业发展规划、工作计划并组织实施
2.主持制定本单位的规章制度，并检查制度执行情况
3.按规定的职权范围，行使人事聘任、解聘或任免权
4.领导本单位日常管理工作
5.行使相关法律规定的其他职权。",1-06-02,1-06,1类-管理决策,"[""制定事业发展规划"", ""主持制定规章制度"", ""行使人事任免权"", ""领导日常管理工作""]","[""事业单位发展规划"", ""单位规章制度"", ""事业单位人员"", ""单位管理资源""]","[""事业单位年度工作计划"", ""单位内部管理制度"", ""人事任免决定书""]","""单位事业发展目标达成率""","[""事业单位办公区"", ""事业单位会议室""]","[""事业单位员工"", ""上级主管部门"", ""社会公众""]",全面经营负责
四级,2-01-01-00,哲学研究人员,从事自然、社会与思维一般规律研究的专业人员。,1.研究马克思主义哲学原理、马克思主义哲学史、中国马克思主义哲学2.研究中国哲学史和外国哲学史及现代中国哲学和现代外国哲学3.比较研究东西方哲学4.研究逻辑学、伦理学、美学、宗教学、科学技术哲学等5.研究文化问题、价值问题、社会发展问题等。,2-01-01,2-01,2类-专业技术创制,"[""研究马克思主义哲学"", ""研究中外哲学史"", ""比较东西方哲学"", ""研究逻辑伦理美学"", ""研究文化价值问题""]","[""马克思主义哲学原理"", ""中外哲学史"", ""逻辑学与伦理学"", ""文化与社会发展问题""]","[""哲学研究论文"", ""哲学学术著作"", ""哲学研究报告""]","""研究成果质量""","[""哲学研究机构"", ""高等院校"", ""学术图书馆""]","[""学术界"", ""高等教育学生"", ""社会公众""]",专业/项目负责
四级,2-01-02-00,经济学研究人员,从事经济学理论研究，运用经济学原理和经济规律对经济问题提出解决办法的专业人员。,1.研究商品和劳务的生产、分配、交换和消费，及其衍生的市场交易趋势、价格政策、信贷结构、就业、生产力等问题2.收集和分析经济资料，建立数学模型，说明和预测经济行为与经济形态3.研究经济制度、经济发展史、经济思想史和经济学方法论4.研究产业、区域和财政、税收、金融、国际贸易等领域经济问题5.研究物流与配送、电子商务、网上购物等专业领域经济问题6.研究利用数据等新的生产要素推动生产力发展问题。,2-01-02,2-01,2类-专业技术创制,"[""研究经济理论"", ""分析经济资料"", ""建立数学模型"", ""预测经济行为"", ""提出经济解决办法""]","[""经济资料"", ""经济制度"", ""市场交易趋势"", ""生产要素""]","[""经济研究报告"", ""经济预测报告"", ""政策建议书""]","""研究成果质量""","[""经济研究机构"", ""高等院校"", ""政府经济部门""]","[""政府决策部门"", ""企业管理层"", ""学术研究群体""]",专业/项目负责
四级,2-01-03-00,法学研究人员,从事法学、社会学、纪检监察学等研究的专业人员。,1.研究法学基本原理及立法、执法、司法、守法等理论与实践问题2.研究宪法、刑法、民商法、行政法、经济法、诉讼法、国际法、环境保护法、劳动法等法律3.研究法律思想史和法制史4.研究人类社会的起源、发展、结构、社会模式及其相互关系5.研究党和国家监督体系、党风廉政建设和反腐败的理论、制度和实践。,2-01-03,2-01,2类-专业技术创制,"[""研究法学理论与实践"", ""分析具体法律条文"", ""探究法律思想史"", ""研究社会结构模式"", ""研究监督反腐制度""]","[""法学基本原理"", ""具体法律条文"", ""法律思想史"", ""社会结构模式"", ""监督反腐制度""]","[""法学研究论文"", ""法律分析报告"", ""学术专著""]","""研究成果质量""","[""法学研究机构"", ""高等院校"", ""法律实务研究中心""]","[""学术界"", ""立法司法机关"", ""政府部门""]",专业/项目负责
四级,2-01-04-01,教育学研究人员,从事教育学理论和应用研究的专业人员。,1.研究教育思想、教育规律、教育科学实验方法2.研究教育制度、教育发展战略规划、教育政策法规、教育管理与评估3.收集、整理、分析、研究教育信息，预测教育发展趋势4.进行教育科学应用研究，进行典型试验，推广研究成果，并为政府、学校及有关机构提供教育咨询服务。,2-01-04,2-01,2类-专业技术创制,"[""研究教育理论规律"", ""研究教育制度政策"", ""分析教育发展趋势"", ""提供教育咨询服务""]","[""教育理论规律"", ""教育政策法规"", ""教育发展战略"", ""教育信息数据""]","[""教育研究报告"", ""教育趋势预测报告"", ""教育咨询方案""]","""研究成果质量""","[""教育研究机构"", ""高等院校办公区"", ""教育行政部门""]","[""政府教育部门"", ""教育教学机构"", ""学术研究团体""]",专业/项目负责
四级,2-01-04-02,心理学研究人员,从事意识与行为的发生、发展、变化规律及其生物学基础，以及人在社会情境中行为规律的理论与应用研究的专业人员。,1.研究意识与行为的发生、发展、变化规律及其生物学基础2.研究整体视角下的人性本质及其差异性3.研究个体和群体在与社会情境互相作用中的心理和行为的发生和变化规律4.研究西方心理学史和中国心理学史，比较研究东西方心理学5.研究心理学理论体系6.研究心理学规律、理论和技术在教育、社会治理、医疗、工业、军事、商业、法律等人类生活领域的应用。,2-01-04,2-01,2类-专业技术创制,"[""研究意识行为规律"", ""分析人性本质差异"", ""比较东西方心理学史"", ""构建心理学理论体系"", ""研究心理学应用技术""]","[""意识与行为规律"", ""心理学理论体系"", ""东西方心理学史"", ""社会情境心理行为""]","[""心理学研究报告"", ""学术论文"", ""心理学理论模型""]","""研究成果质量""","[""心理学研究机构"", ""高等院校"", ""心理实验室""]","[""学术界"", ""医疗教育机构"", ""社会治理部门""]",专业/项目负责
四级,2-01-04-03,体育学研究人员,从事体育学理论和应用研究的专业人员。,1.研究体育原理、体育思想、体育发展规律、体育基础理论和方法2.研究体育人文社会学、运动人体科学、体育教育训练学、民族传统体育学等本质特征、发展规律的理论和方法3.研究全民健身、竞技体育、体育产业、学校体育和体育文化的理论、政策和实践4.研究各运动项目的理论、政策和实践。,2-01-04,2-01,2类-专业技术创制,"[""研究体育基础理论"", ""分析体育学科规律"", ""研究体育政策实践"", ""探索运动项目理论""]","[""体育学理论"", ""体育人文社会学"", ""体育产业政策"", ""运动项目规律""]","[""体育研究论文"", ""体育政策建议书"", ""体育学术著作""]","""研究成果质量""","[""体育研究机构"", ""高等院校体育学院"", ""体育管理部门""]","[""学术界"", ""体育管理部门"", ""体育教育从业者""]",专业/项目负责
四级,2-01-05-00,历史学研究人员,从事既往人类活动及自然环境变迁研究的专业人员。,1.运用传世文献、出土文献、考古资料等史料，对人类社会历史和自然历史进行考察2.研究中国史、世界史、史学理论、史学史、各种专业史等3.研究史学发展动态，评论史学著作。,2-01-05,2-01,2类-专业技术创制,"[""考察人类社会历史"", ""研究史学理论"", ""评论史学著作"", ""分析历史史料""]","[""传世文献"", ""出土文献"", ""考古资料"", ""史学著作""]","[""历史研究论文"", ""学术专著"", ""史学评论报告""]","""研究成果质量""","[""历史研究机构"", ""高等院校"", ""档案馆""]","[""学术界"", ""教育机构"", ""文化部门""]",专业/项目负责
四级,2-01-06-01,数学研究人员,从事数学理论研究，开发和改进数学方法，运用数学原理和技术解答科学研究、工程设计、计算机应用等领域专门问题的专业人员。,1.研究基础数学、应用数学、计算数学、概率统计、运筹学与控制论和其他数学分支的基础理论2.建立数学模型、假设并检验数学原理，提出和改进数学方法3.运用数学理论和方法，结合领域知识，解答自然科学研究、工程设计、信息技术、管理决策和社会经济等领域的专门问题。,2-01-06,2-01,2类-专业技术创制,"[""研究数学基础理论"", ""建立数学模型"", ""检验数学原理"", ""改进数学方法"", ""解答领域专门问题""]","[""数学基础理论"", ""数学模型"", ""数学原理"", ""领域专门问题""]","[""数学研究报告"", ""数学模型方案"", ""学术论文""]","""研究成果质量""","[""高等院校"", ""科研院所"", ""企业研发中心""]","[""学术界"", ""工程技术人员"", ""管理决策部门""]",专业/项目负责
四级,2-01-06-02,物理学研究人员,从事物质、能量及其相互作用研究的专业人员,1.研究物质的基本组分、性质和构造、能量的转换和传递以及力、热、光、声、电磁、分子、原子、原子核、强子、基本粒子等物理现象2.研究物理定律和原理在工业、医疗、军事以及其他方面的实际应用3.应用数学原理分析和研究物理现象，并以数学语言作出结论4.说明结论同已知物理定律的关系，或提出新的理论、概念和定律，解释结论。,2-01-06,2-01,2类-专业技术创制,"[""研究物理现象"", ""分析物理规律"", ""探索物理定律应用"", ""提出物理理论""]","[""物理现象"", ""物质基本组分"", ""物理定律"", ""数学原理""]","[""物理研究报告"", ""学术论文"", ""物理理论模型""]","""研究成果质量""","[""物理实验室"", ""高等院校"", ""科研院所""]","[""学术界"", ""工业企业"", ""医疗机构"", ""军事部门""]",专业/项目负责
