源编码,目标实体,关系类型
1-04-01,人民团体和群众团体各级组织及其机构,OPERATES_IN_ENV
1-04-01-01,履行,INVOLVES_ACTION
1-04-01-01,维护,INVOLVES_ACTION
1-04-01-01,工会工作,TARGETS_OBJECT
1-04-01-01,职工合法权益,TARGETS_OBJECT
1-04-01-01,工会经费,TARGETS_OBJECT
1-04-01-01,中华全国总工会各级组织及其工作机构,OPERATES_IN_ENV
1-04-01-02,拟定,INVOLVES_ACTION
1-04-01-02,宣传,INVOLVES_ACTION
1-04-01-02,领导,INVOLVES_ACTION
1-04-01-02,指导方针,TARGETS_OBJECT
1-04-01-02,共青团工作,TARGETS_OBJECT
1-04-01-02,青年,TARGETS_OBJECT
1-04-01-02,共青团各级组织及其工作机构,OPERATES_IN_ENV
1-04-01-03,组织制定,INVOLVES_ACTION
1-04-01-03,履行职责,INVOLVES_ACTION
1-04-01-03,代表参与,INVOLVES_ACTION
1-04-01-03,妇联工作,TARGETS_OBJECT
1-04-01-03,妇女儿童和家庭工作,TARGETS_OBJECT
1-04-01-03,法律法规和政策,TARGETS_OBJECT
1-04-01-03,中华全国妇女联合会各级组织及其工作机构,OPERATES_IN_ENV
1-04-01-04,决策,INVOLVES_ACTION
1-04-01-04,管理,INVOLVES_ACTION
1-04-01-04,人民团体,TARGETS_OBJECT
1-04-01-04,群众团体,TARGETS_OBJECT
1-04-01-04,人民团体和群众团体各级机构,OPERATES_IN_ENV
1-04-02,社会团体,OPERATES_IN_ENV
1-04-02-00,召集,INVOLVES_ACTION
1-04-02-00,主持,INVOLVES_ACTION
1-04-02-00,签署,INVOLVES_ACTION
1-04-02-00,理事会,TARGETS_OBJECT
1-04-02-00,工作报告,TARGETS_OBJECT
1-04-02-00,重要文件,TARGETS_OBJECT
1-04-02-00,社会团体,OPERATES_IN_ENV
1-04-03,非营利性社会服务活动,TARGETS_OBJECT
1-04-03,民办非企业单位,OPERATES_IN_ENV
1-04-03,社会组织,OPERATES_IN_ENV
1-04-03-00,管理,INVOLVES_ACTION
1-04-03-00,行使,INVOLVES_ACTION
1-04-03-00,非营利性社会服务活动,TARGETS_OBJECT
1-04-03-00,民办非企业单位,OPERATES_IN_ENV
1-04-04,沟通,INVOLVES_ACTION
1-04-04,公证,INVOLVES_ACTION
1-04-04,监督,INVOLVES_ACTION
1-04-04,服务,TARGETS_OBJECT
1-04-04,社会管理工作,TARGETS_OBJECT
1-04-04,非政府社会组织,TARGETS_OBJECT
1-04-04,非政府社会组织,OPERATES_IN_ENV
1-04-04-00,沟通,INVOLVES_ACTION
1-04-04-00,公证,INVOLVES_ACTION
1-04-04-00,监督,INVOLVES_ACTION
1-04-04-00,服务,TARGETS_OBJECT
1-04-04-00,社会管理工作,TARGETS_OBJECT
1-04-04-00,非政府社会组织,TARGETS_OBJECT
1-04-04-00,非政府社会组织,OPERATES_IN_ENV
1-04-05,捐赠财产,TARGETS_OBJECT
1-04-05,公益事业,TARGETS_OBJECT
1-04-05,非营利性法人机构,OPERATES_IN_ENV
1-04-05-00,召集,INVOLVES_ACTION
1-04-05-00,拟定,INVOLVES_ACTION
1-04-05-00,理事会会议,TARGETS_OBJECT
1-04-05-00,规章制度,TARGETS_OBJECT
1-04-05-00,公益活动计划,TARGETS_OBJECT
1-04-05-00,非营利性法人机构,OPERATES_IN_ENV
1-04-06,领导,INVOLVES_ACTION
1-04-06,宗教组织,TARGETS_OBJECT
1-04-06,宗教组织,OPERATES_IN_ENV
1-04-06-00,管理,INVOLVES_ACTION
1-04-06-00,行使,INVOLVES_ACTION
1-04-06-00,宗教事务,TARGETS_OBJECT
1-04-06-00,宗教组织,OPERATES_IN_ENV
1-05-00,居民委员会,OPERATES_IN_ENV
1-05-00,村民委员会,OPERATES_IN_ENV
1-05-00-01,行使,INVOLVES_ACTION
1-05-00-01,日常管理工作,TARGETS_OBJECT
1-05-00-01,居民委员会,OPERATES_IN_ENV
1-05-00-02,行使,INVOLVES_ACTION
1-05-00-02,村民委员会日常管理工作,TARGETS_OBJECT
1-05-00-02,村民委员会,OPERATES_IN_ENV
1-06-01,决策,INVOLVES_ACTION
1-06-01,管理,INVOLVES_ACTION
1-06-01,企业,TARGETS_OBJECT
1-06-01,企业,OPERATES_IN_ENV
1-06-01-01,召集,INVOLVES_ACTION
1-06-01-01,决定,INVOLVES_ACTION
1-06-01-01,审定,INVOLVES_ACTION
1-06-01-01,股东大会,TARGETS_OBJECT
1-06-01-01,经营计划,TARGETS_OBJECT
1-06-01-01,财务预算决算方案,TARGETS_OBJECT
1-06-01-01,企业,OPERATES_IN_ENV
1-06-01-02,领导,INVOLVES_ACTION
1-06-01-02,拟定,INVOLVES_ACTION
1-06-01-02,决议,TARGETS_OBJECT
1-06-01-02,经营管理工作,TARGETS_OBJECT
1-06-01-02,内部机构设置,TARGETS_OBJECT
1-06-01-02,企业,OPERATES_IN_ENV
1-06-01-03,召集并主持,INVOLVES_ACTION
1-06-01-03,贯彻落实,INVOLVES_ACTION
1-06-01-03,领导,INVOLVES_ACTION
1-06-01-03,党组织会议,TARGETS_OBJECT
1-06-01-03,党和国家的路线方针政策,TARGETS_OBJECT
1-06-01-03,群众组织,TARGETS_OBJECT
1-06-01-03,国有企业,OPERATES_IN_ENV
1-06-02,决策,INVOLVES_ACTION
1-06-02,管理,INVOLVES_ACTION
1-06-02,事业单位,TARGETS_OBJECT
1-06-02,教育,OPERATES_IN_ENV
1-06-02,科技,OPERATES_IN_ENV
1-06-02,文化,OPERATES_IN_ENV
1-06-02,卫生,OPERATES_IN_ENV
1-06-02-00,主持,INVOLVES_ACTION
1-06-02-00,领导,INVOLVES_ACTION
1-06-02-00,事业发展规划,TARGETS_OBJECT
1-06-02-00,规章制度,TARGETS_OBJECT
1-06-02-00,日常管理工作,TARGETS_OBJECT
1-06-02-00,事业单位,OPERATES_IN_ENV
2-01-01,研究,INVOLVES_ACTION
2-01-01,自然规律,TARGETS_OBJECT
2-01-01,社会规律,TARGETS_OBJECT
2-01-01,思维规律,TARGETS_OBJECT
2-01-01-00,研究,INVOLVES_ACTION
2-01-01-00,比较研究,INVOLVES_ACTION
2-01-01-00,哲学原理,TARGETS_OBJECT
2-01-01-00,哲学史,TARGETS_OBJECT
2-01-01-00,文化问题,TARGETS_OBJECT
2-01-02,经济学理论,TARGETS_OBJECT
2-01-02,经济学原理,TARGETS_OBJECT
2-01-02,经济问题,TARGETS_OBJECT
2-01-02-00,研究,INVOLVES_ACTION
2-01-02-00,收集,INVOLVES_ACTION
2-01-02-00,分析,INVOLVES_ACTION
2-01-02-00,经济问题,TARGETS_OBJECT
2-01-02-00,经济资料,TARGETS_OBJECT
2-01-02-00,数学模型,TARGETS_OBJECT
2-01-03,研究,INVOLVES_ACTION
2-01-03,法学,TARGETS_OBJECT
2-01-03,社会学,TARGETS_OBJECT
2-01-03,纪检监察学,TARGETS_OBJECT
2-01-03-00,研究,INVOLVES_ACTION
2-01-03-00,法学基本原理,TARGETS_OBJECT
2-01-03-00,法律,TARGETS_OBJECT
2-01-03-00,社会模式,TARGETS_OBJECT
2-01-04,研究,INVOLVES_ACTION
2-01-04,教育学,TARGETS_OBJECT
2-01-04,心理学,TARGETS_OBJECT
2-01-04,体育学,TARGETS_OBJECT
2-01-04-01,研究,INVOLVES_ACTION
2-01-04-01,分析,INVOLVES_ACTION
2-01-04-01,推广,INVOLVES_ACTION
2-01-04-01,教育理论,TARGETS_OBJECT
2-01-04-01,教育政策,TARGETS_OBJECT
2-01-04-01,教育信息,TARGETS_OBJECT
2-01-04-01,政府,OPERATES_IN_ENV
2-01-04-01,学校,OPERATES_IN_ENV
2-01-04-01,相关机构,OPERATES_IN_ENV
2-01-04-02,研究,INVOLVES_ACTION
2-01-04-02,意识与行为,TARGETS_OBJECT
2-01-04-02,心理学理论体系,TARGETS_OBJECT
2-01-04-02,人性本质,TARGETS_OBJECT
2-01-04-02,教育,OPERATES_IN_ENV
2-01-04-02,社会治理,OPERATES_IN_ENV
2-01-04-02,医疗,OPERATES_IN_ENV
2-01-04-02,工业,OPERATES_IN_ENV
2-01-04-02,军事,OPERATES_IN_ENV
2-01-04-02,商业,OPERATES_IN_ENV
2-01-04-02,法律,OPERATES_IN_ENV
2-01-04-03,研究,INVOLVES_ACTION
2-01-04-03,体育原理,TARGETS_OBJECT
2-01-04-03,体育理论,TARGETS_OBJECT
2-01-04-03,体育实践,TARGETS_OBJECT
2-01-05,研究,INVOLVES_ACTION
2-01-05,既往人类活动,TARGETS_OBJECT
2-01-05,自然环境变迁,TARGETS_OBJECT
2-01-05-00,考察,INVOLVES_ACTION
2-01-05-00,研究,INVOLVES_ACTION
2-01-05-00,评论,INVOLVES_ACTION
2-01-05-00,史料,TARGETS_OBJECT
2-01-05-00,人类社会历史,TARGETS_OBJECT
2-01-05-00,史学著作,TARGETS_OBJECT
2-01-06,研究,INVOLVES_ACTION
2-01-06,理论,TARGETS_OBJECT
2-01-06,应用,TARGETS_OBJECT
2-01-06-01,研究,INVOLVES_ACTION
2-01-06-01,数学理论,TARGETS_OBJECT
2-01-06-01,数学模型,TARGETS_OBJECT
2-01-06-01,数学方法,TARGETS_OBJECT
2-01-06-01,科学研究,OPERATES_IN_ENV
2-01-06-01,工程设计,OPERATES_IN_ENV
2-01-06-01,计算机应用,OPERATES_IN_ENV
2-01-06-02,研究,INVOLVES_ACTION
2-01-06-02,分析,INVOLVES_ACTION
2-01-06-02,物理现象,TARGETS_OBJECT
2-01-06-02,物理定律,TARGETS_OBJECT
2-01-06-02,物质,TARGETS_OBJECT
2-01-06-03,研究,INVOLVES_ACTION
2-01-06-03,应用,INVOLVES_ACTION
2-01-06-03,开发,INVOLVES_ACTION
2-01-06-03,物质的构成、性质、相互作用,TARGETS_OBJECT
2-01-06-03,化学原理、方法和技术,TARGETS_OBJECT
2-01-06-03,新产品和新生产方法,TARGETS_OBJECT
2-01-06-04,研究,INVOLVES_ACTION
2-01-06-04,研制,INVOLVES_ACTION
2-01-06-04,深化,INVOLVES_ACTION
2-01-06-04,天体,TARGETS_OBJECT
2-01-06-04,天文设备,TARGETS_OBJECT
2-01-06-04,宇宙,TARGETS_OBJECT
2-01-06-04,地面,OPERATES_IN_ENV
2-01-06-04,空间,OPERATES_IN_ENV
2-01-06-05,研究,INVOLVES_ACTION
2-01-06-05,观察,INVOLVES_ACTION
2-01-06-05,鉴定,INVOLVES_ACTION
2-01-06-05,生命现象,TARGETS_OBJECT
2-01-06-05,生物标本,TARGETS_OBJECT
2-01-06-05,生物样品,TARGETS_OBJECT
2-01-06-05,自然环境,OPERATES_IN_ENV
2-01-06-06,研究,INVOLVES_ACTION
2-01-06-06,观察,INVOLVES_ACTION
2-01-06-06,测试,INVOLVES_ACTION
2-01-06-06,地球内部结构,TARGETS_OBJECT
2-01-06-06,地球化学组成,TARGETS_OBJECT
2-01-06-06,自然资源,TARGETS_OBJECT
2-01-07,研究,INVOLVES_ACTION
2-01-07,农业发展自然规律,TARGETS_OBJECT
2-01-07,经济规律,TARGETS_OBJECT
2-01-07-00,研究,INVOLVES_ACTION
2-01-07-00,研制,INVOLVES_ACTION
2-01-07-00,保护,INVOLVES_ACTION
2-01-07-00,农业发展规律,TARGETS_OBJECT
2-01-07-00,农林牧渔业技术,TARGETS_OBJECT
2-01-07-00,品种资源,TARGETS_OBJECT
2-01-07-00,农田,OPERATES_IN_ENV
2-01-07-00,沙漠,OPERATES_IN_ENV
2-01-07-00,山区,OPERATES_IN_ENV
2-01-07-00,沙区,OPERATES_IN_ENV
2-01-07-00,湿地,OPERATES_IN_ENV
2-01-08,研究,INVOLVES_ACTION
2-01-08,基础医学,TARGETS_OBJECT
2-01-08,临床医学,TARGETS_OBJECT
2-01-08,预防医学,TARGETS_OBJECT
2-01-08,口腔医学,TARGETS_OBJECT
2-01-08,特种医学,TARGETS_OBJECT
2-01-08,药学,TARGETS_OBJECT
2-01-08,中国传统医药学,TARGETS_OBJECT
2-01-08,中西医结合,TARGETS_OBJECT
2-01-08-00,研究,INVOLVES_ACTION
2-01-08-00,发展,INVOLVES_ACTION
2-01-08-00,人体结构与功能,TARGETS_OBJECT
2-01-08-00,疾病诊断与治疗,TARGETS_OBJECT
2-01-08-00,药物成分,TARGETS_OBJECT
2-01-09,研究,INVOLVES_ACTION
2-01-09,资源,TARGETS_OBJECT
2-01-09,环境,TARGETS_OBJECT
2-01-09,战略,TARGETS_OBJECT
2-01-09,机制,TARGETS_OBJECT
2-01-09,社会各类组织,OPERATES_IN_ENV
2-01-09-00,研究,INVOLVES_ACTION
2-01-09-00,管理理论,TARGETS_OBJECT
2-01-09-00,管理方法,TARGETS_OBJECT
2-01-09-00,组织活动,TARGETS_OBJECT
2-01-10,文学,TARGETS_OBJECT
2-01-10,艺术学,TARGETS_OBJECT
2-01-10,文艺美学,TARGETS_OBJECT
2-01-10,图书馆学,TARGETS_OBJECT
2-01-10,情报学,TARGETS_OBJECT
2-01-10,新闻学,TARGETS_OBJECT
2-01-10-00,研究,INVOLVES_ACTION
2-01-10-00,评论,INVOLVES_ACTION
2-01-10-00,文学,TARGETS_OBJECT
2-01-10-00,艺术学,TARGETS_OBJECT
2-01-10-00,文艺美学,TARGETS_OBJECT
2-01-10-00,图书馆学,TARGETS_OBJECT
2-01-10-00,情报学,TARGETS_OBJECT
2-01-10-00,新闻学,TARGETS_OBJECT
2-01-11,研究,INVOLVES_ACTION
2-01-11,应用,INVOLVES_ACTION
2-01-11,军事理论科学,TARGETS_OBJECT
2-01-11,军事技术科学,TARGETS_OBJECT
2-01-11-00,研究,INVOLVES_ACTION
2-01-11-00,指导,INVOLVES_ACTION
2-01-11-00,军事理论科学,TARGETS_OBJECT
2-01-11-00,军事技术科学,TARGETS_OBJECT
2-01-11-00,武器装备,TARGETS_OBJECT
2-01-99,研究,INVOLVES_ACTION
2-01-99,科学,TARGETS_OBJECT
2-02-01,探测,INVOLVES_ACTION
2-02-01,绘制,INVOLVES_ACTION
2-02-01,地球内部结构,TARGETS_OBJECT
2-02-01,地质图件,TARGETS_OBJECT
2-02-01,矿床,TARGETS_OBJECT
2-02-01-01,编制,INVOLVES_ACTION
2-02-01-01,地质样品,TARGETS_OBJECT
2-02-01-01,技术和质量标准,TARGETS_OBJECT
2-02-01-01,技术咨询服务,TARGETS_OBJECT
2-02-01-02,采集,INVOLVES_ACTION
2-02-01-02,分析,INVOLVES_ACTION
2-02-01-02,研究,INVOLVES_ACTION
2-02-01-02,目标体特征信息,TARGETS_OBJECT
2-02-01-02,物化遥软件,TARGETS_OBJECT
2-02-01-02,技术标准,TARGETS_OBJECT
2-02-01-02,空中,OPERATES_IN_ENV
2-02-01-02,地面,OPERATES_IN_ENV
2-02-01-02,地下,OPERATES_IN_ENV
2-02-01-02,海洋,OPERATES_IN_ENV
2-02-01-03,勘查,INVOLVES_ACTION
2-02-01-03,监测,INVOLVES_ACTION
2-02-01-03,评价,INVOLVES_ACTION
2-02-01-03,水文地质,TARGETS_OBJECT
2-02-01-03,工程地质,TARGETS_OBJECT
2-02-01-03,地质灾害,TARGETS_OBJECT
2-02-01-04,编制,INVOLVES_ACTION
2-02-01-04,地质调查,TARGETS_OBJECT
2-02-01-04,矿产资源,TARGETS_OBJECT
2-02-01-04,成果报告,TARGETS_OBJECT
2-02-01-04,陆域,OPERATES_IN_ENV
2-02-01-04,海域,OPERATES_IN_ENV
2-02-01-04,极地,OPERATES_IN_ENV
2-02-01-05,研究,INVOLVES_ACTION
2-02-01-05,设计,INVOLVES_ACTION
2-02-01-05,指导,INVOLVES_ACTION
2-02-01-05,钻探工艺,TARGETS_OBJECT
2-02-01-05,钻探工程,TARGETS_OBJECT
2-02-01-05,钻探机具与仪器,TARGETS_OBJECT
2-02-02,采集,INVOLVES_ACTION
2-02-02,分析,INVOLVES_ACTION
2-02-02,信息,TARGETS_OBJECT
2-02-02,自然和人造物体,TARGETS_OBJECT
2-02-02,空间分布,TARGETS_OBJECT
2-02-02-01,测量,INVOLVES_ACTION
2-02-02-01,地球形状,TARGETS_OBJECT
2-02-02-01,控制网,TARGETS_OBJECT
2-02-02-01,重力场,TARGETS_OBJECT
2-02-02-01,近地空间,OPERATES_IN_ENV
2-02-02-02,设计,INVOLVES_ACTION
2-02-02-02,制订,INVOLVES_ACTION
2-02-02-02,检查,INVOLVES_ACTION
2-02-02-02,测量成果,TARGETS_OBJECT
2-02-02-02,地籍调查,TARGETS_OBJECT
2-02-02-02,房产测量,TARGETS_OBJECT
2-02-02-03,获取,INVOLVES_ACTION
2-02-02-03,判译,INVOLVES_ACTION
2-02-02-03,遥感数据,TARGETS_OBJECT
2-02-02-03,目标物影像,TARGETS_OBJECT
2-02-02-03,时空信息,TARGETS_OBJECT
2-02-02-03,航空航天飞行器,OPERATES_IN_ENV
2-02-02-03,地面观测平台,OPERATES_IN_ENV
2-02-02-04,编绘,INVOLVES_ACTION
2-02-02-04,设计,INVOLVES_ACTION
2-02-02-04,采集,INVOLVES_ACTION
2-02-02-04,地图,TARGETS_OBJECT
2-02-02-04,地图数据库,TARGETS_OBJECT
2-02-02-04,地图制图成果,TARGETS_OBJECT
2-02-02-05,设计,INVOLVES_ACTION
2-02-02-05,测定,INVOLVES_ACTION
2-02-02-05,编制,INVOLVES_ACTION
2-02-02-05,海洋深度基准,TARGETS_OBJECT
2-02-02-05,航海图,TARGETS_OBJECT
2-02-02-05,海洋水文要素,TARGETS_OBJECT
2-02-02-05,海洋,OPERATES_IN_ENV
2-02-02-05,海底,OPERATES_IN_ENV
2-02-02-06,定制开发,INVOLVES_ACTION
2-02-02-06,信息挖掘分析,INVOLVES_ACTION
2-02-02-06,编制,INVOLVES_ACTION
2-02-02-06,地理国情监测软件,TARGETS_OBJECT
2-02-02-06,地理信息数据,TARGETS_OBJECT
2-02-02-06,地理国情监测产品,TARGETS_OBJECT
2-02-02-07,研究,INVOLVES_ACTION
2-02-02-07,设计,INVOLVES_ACTION
2-02-02-07,开发,INVOLVES_ACTION
2-02-02-07,维护,INVOLVES_ACTION
2-02-02-07,地理信息系统 (GIS),TARGETS_OBJECT
2-02-02-07,地理信息数据库,TARGETS_OBJECT
2-02-02-08,设计架构,INVOLVES_ACTION
2-02-02-08,系统开发,INVOLVES_ACTION
2-02-02-08,编绘设计,INVOLVES_ACTION
2-02-02-08,地图导航定位产品,TARGETS_OBJECT
2-02-02-08,地理信息,TARGETS_OBJECT
2-02-02-08,位置服务,TARGETS_OBJECT
2-02-02-08,室内,OPERATES_IN_ENV
2-02-02-08,实地,OPERATES_IN_ENV
2-02-02-09,测量,INVOLVES_ACTION
2-02-02-09,绘制,INVOLVES_ACTION
2-02-02-09,研发,INVOLVES_ACTION
2-02-02-09,地质地理要素,TARGETS_OBJECT
2-02-02-09,测绘图件,TARGETS_OBJECT
2-02-02-09,地质测绘软硬件,TARGETS_OBJECT
2-02-02-09,矿区,OPERATES_IN_ENV
2-02-03,开发,INVOLVES_ACTION
2-02-03,设计,INVOLVES_ACTION
2-02-03,指导,INVOLVES_ACTION
2-02-03,生产工艺,TARGETS_OBJECT
2-02-03,采矿,TARGETS_OBJECT
2-02-03,选矿,TARGETS_OBJECT
2-02-03,矿物加工,TARGETS_OBJECT
2-02-03,矿山,OPERATES_IN_ENV
2-02-03-01,编制,INVOLVES_ACTION
2-02-03-01,排查,INVOLVES_ACTION
2-02-03-01,矿井工程项目,TARGETS_OBJECT
2-02-03-01,设计方案,TARGETS_OBJECT
2-02-03-01,安全隐患,TARGETS_OBJECT
2-02-03-01,矿井,OPERATES_IN_ENV
2-02-03-01,矿区,OPERATES_IN_ENV
2-02-03-02,研究,INVOLVES_ACTION
2-02-03-02,设计,INVOLVES_ACTION
2-02-03-02,制订,INVOLVES_ACTION
2-02-03-02,采矿生产工艺,TARGETS_OBJECT
2-02-03-02,矿区开采规划,TARGETS_OBJECT
2-02-03-02,安全作业规程,TARGETS_OBJECT
2-02-03-02,露天,OPERATES_IN_ENV
2-02-03-02,井下,OPERATES_IN_ENV
2-02-03-03,研究,INVOLVES_ACTION
2-02-03-03,制订,INVOLVES_ACTION
2-02-03-03,设计,INVOLVES_ACTION
2-02-03-03,矿山通风系统,TARGETS_OBJECT
2-02-03-03,瓦斯防治,TARGETS_OBJECT
2-02-03-03,安全监测监控,TARGETS_OBJECT
2-02-03-03,矿山,OPERATES_IN_ENV
2-02-03-03,井下,OPERATES_IN_ENV
2-02-03-04,研究,INVOLVES_ACTION
2-02-03-04,设计,INVOLVES_ACTION
2-02-03-04,制订,INVOLVES_ACTION
2-02-03-04,选矿工艺,TARGETS_OBJECT
2-02-03-04,矿物,TARGETS_OBJECT
2-02-03-04,技术指标,TARGETS_OBJECT
2-02-03-05,研究应用,INVOLVES_ACTION
2-02-03-05,监测监察,INVOLVES_ACTION
2-02-03-05,编制组织,INVOLVES_ACTION
2-02-03-05,环保管理与技术,TARGETS_OBJECT
2-02-03-05,污染物治理计划,TARGETS_OBJECT
2-02-03-05,复垦方案,TARGETS_OBJECT
2-02-03-05,矿区,OPERATES_IN_ENV
2-02-03-05,矿山,OPERATES_IN_ENV
2-02-04,研究,INVOLVES_ACTION
2-02-04,规划设计,INVOLVES_ACTION
2-02-04,运行,INVOLVES_ACTION
2-02-04,石油天然气钻井及开采技术,TARGETS_OBJECT
2-02-04,储运系统,TARGETS_OBJECT
2-02-04-01,研究,INVOLVES_ACTION
2-02-04-01,设计,INVOLVES_ACTION
2-02-04-01,分析,INVOLVES_ACTION
2-02-04-01,石油天然气开采技术,TARGETS_OBJECT
2-02-04-01,油气田开发方案,TARGETS_OBJECT
2-02-04-01,油藏地质资料,TARGETS_OBJECT
2-02-04-01,石油天然气开采现场,OPERATES_IN_ENV
2-02-04-02,计算,INVOLVES_ACTION
2-02-04-02,规划,INVOLVES_ACTION
2-02-04-02,设计,INVOLVES_ACTION
2-02-04-02,研究,INVOLVES_ACTION
2-02-04-02,分析处理,INVOLVES_ACTION
2-02-04-02,油罐与管道强度,TARGETS_OBJECT
2-02-04-02,油气集输,TARGETS_OBJECT
2-02-04-02,油库建设,TARGETS_OBJECT
2-02-04-02,输油管道系统,TARGETS_OBJECT
2-02-04-02,油气多相管流与流变学,TARGETS_OBJECT
2-02-04-02,油气管输工艺,TARGETS_OBJECT
2-02-04-02,生产技术问题,TARGETS_OBJECT
2-02-04-02,石油天然气储运系统,OPERATES_IN_ENV
2-02-05,研究,INVOLVES_ACTION
2-02-05,设计,INVOLVES_ACTION
2-02-05,生产,INVOLVES_ACTION
2-02-05,金属矿物,TARGETS_OBJECT
2-02-05,金属材料,TARGETS_OBJECT
2-02-05,耐火材料,TARGETS_OBJECT
2-02-05-01,研究应用,INVOLVES_ACTION
2-02-05-01,计算优化,INVOLVES_ACTION
2-02-05-01,制订修订,INVOLVES_ACTION
2-02-05-01,冶炼工艺方法,TARGETS_OBJECT
2-02-05-01,生产技术问题,TARGETS_OBJECT
2-02-05-01,产品标准,TARGETS_OBJECT
2-02-05-01,冶炼工厂,OPERATES_IN_ENV
2-02-05-02,研究,INVOLVES_ACTION
2-02-05-02,计算,INVOLVES_ACTION
2-02-05-02,设计,INVOLVES_ACTION
2-02-05-02,金属压力加工,TARGETS_OBJECT
2-02-05-02,退火,TARGETS_OBJECT
2-02-05-02,表面涂镀,TARGETS_OBJECT
2-02-05-02,轧制等压力加工、退火、涂镀工厂,OPERATES_IN_ENV
