源编码,源名称,目标编码,目标名称,相似度得分,关系类型,LLM防坑口诀
3-01-02-04,收发员,4-02-07,邮政和快递服务人员,0.9268,POTENTIALLY_CONFUSED,收发员对内传递，邮政快递对外服务
6-20-02-03,汽轮机装配调试工,6-31-01-06,汽轮机和水轮机检修工,0.9267,POTENTIALLY_CONFUSED,装配侧重于新机制造，检修侧重于维护修复。
2-02-16-01,民用航空器维修与适航工程技术人员,6-31-02,船舶、航空器修理人员,0.9239,POTENTIALLY_CONFUSED,[民用航空器维修与适航工程技术人员]为工程技术研发，[船舶、航空器修理人员]为基础维修操作
2-06-07-09,拍卖师,4-07-01-02,拍卖服务师,0.9237,POTENTIALLY_CONFUSED,拍卖师主导拍卖，服务师负责运营支持。
2-09-06-06,工艺美术专业人员,6-09-03,工艺美术品制造人员,0.9234,POTENTIALLY_CONFUSED,[工艺美术专业人员]为设计研发，[工艺美术品制造人员]为具体制作执行
6-04-99,其他纺织、针织、印染人员,6-05-99,其他纺织品、服装和皮革、毛皮制品加工制作人员,0.9227,POTENTIALLY_CONFUSED,[其他纺织、针织、印染人员]为原材料生产，[其他纺织品、服装和皮革、毛皮制品加工制作人员]为成品加工。
6-21-99,其他专用设备制造人员,6-24-99,其他电气机械和器材制造人员,0.9225,POTENTIALLY_CONFUSED,专用设备看功能，电气器材看电力。
4-02-07-07,邮政市场业务员,4-04-01-02,信息通信业务员,0.9223,POTENTIALLY_CONFUSED,邮政侧重实物寄递，通信侧重网络服务。
5-01-99,其他农业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9218,POTENTIALLY_CONFUSED,生产人员主攻生产，辅助人员主攻辅助。
2-02-02-05,海洋测绘工程技术人员 L/S,4-08-03-06,海洋测绘员L/S,0.9218,POTENTIALLY_CONFUSED,技术人员重设计研究，测绘员重操作执行
2-05-08,护理人员,4-14-01,医疗辅助服务人员,0.9215,POTENTIALLY_CONFUSED,护理人员主导护理，辅助人员侧重病案管理。[护理人员]专业护理，[医疗辅助服务人员]辅助照护
6-31-99,其他生产辅助人员,6-99-00,其他生产制造及有关人员,0.9207,POTENTIALLY_CONFUSED,辅助人员在制造人员的大类之中
6-09-04-03,健身器材制作工,6-19-01-01,工具五金制作工,0.9202,POTENTIALLY_CONFUSED,[健身器材制作工]做健身器材，[工具五金制作工]做通用五金工具。
6-23-03-03,航空发动机装配工,6-31-02-04,航空发动机修理工,0.9201,POTENTIALLY_CONFUSED,装配与修理职责高度重合，极易混淆。
2-02-31-01,产品质量检验工程技术人员,6-31-03,检验试验人员,0.92,POTENTIALLY_CONFUSED,工程技术员定标准，检验员执行检测。
6-11-01-04,制冷工,6-29-03-05,制冷空调系统安装维修工,0.9196,POTENTIALLY_CONFUSED,[制冷工]是操作运行，[制冷空调系统安装维修工]是安装维修。
1-03-00,民主党派和工商联负责人,1-04-01,人民团体和群众团体负责人,0.9188,POTENTIALLY_CONFUSED,民主党派看党派，人民团体看工青妇
2-02-20-06,森林保护工程技术人员 L,5-05-02-02,林业有害生物防治员L,0.9187,POTENTIALLY_CONFUSED,[森林保护工程技术人员 L]为研发管理，[林业有害生物防治员L]为一线操作
1-03-00,民主党派和工商联负责人,1-04-01-04,其他人民团体和群众团体负责人,0.9187,POTENTIALLY_CONFUSED,民主党派/工商联 vs 其他人民群众团体
2-02-12-03,变电工程技术人员 L,6-31-01-08,变电设备检修工,0.9186,POTENTIALLY_CONFUSED,技术人员管规划设计，检修工管动手拆装
6-26-01-01,仪器仪表制造工,6-31-01-04,仪器仪表维修工,0.9169,POTENTIALLY_CONFUSED,制造重在组装生产，维修重在故障排除。
5-03-99,其他畜牧业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9169,POTENTIALLY_CONFUSED,[其他畜牧业生产人员]仅限畜牧，[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
2-02-28-01,安全技术防范工程技术人员,4-07-05-04,安全防范系统安装维护员,0.9162,POTENTIALLY_CONFUSED,技术人员搞规划设计，维护员搞安装维修。
2-03-07-02,草业技术人员,4-09-10-02,草坪园艺师,0.916,POTENTIALLY_CONFUSED,技术人员重研发保护，园艺师重建植养护
6-23-03-13,飞机外场调试与维护工,6-31-02-05,航空器外场维护员,0.9156,POTENTIALLY_CONFUSED,名称相近且职责描述几乎完全一致。[飞机外场调试与维护工]的对象是飞机，[航空器外场维护员]是航空器，航空器是飞机的上位概念
2-03-06-03,宠物医师,4-10-07-01,宠物健康护理员,0.9154,POTENTIALLY_CONFUSED,医师诊疗开药，护理员养护管理。
2-04-02-02,轮机部技术人员,6-30-04-02,船舶机舱设备操作工,0.9154,POTENTIALLY_CONFUSED,技术人员偏管理协调，操作工偏执行维护
6-01-99,其他农副产品加工人员,6-02-99,其他食品、饮料生产加工人员,0.9148,POTENTIALLY_CONFUSED,农副产品侧重原材，食品饮料侧重成品。
5-03-99,其他畜牧业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9139,POTENTIALLY_CONFUSED,生产人员主导生产，辅助人员负责辅助。
6-24-99,其他电气机械和器材制造人员,6-26-99,其他仪器仪表制造人员,0.9138,POTENTIALLY_CONFUSED,电气看功率/动力，仪表看精度/测量。
6-20-99,其他通用设备制造人员,6-24-99,其他电气机械和器材制造人员,0.9137,POTENTIALLY_CONFUSED,通用设备看机械，电气器材看电路。
2-06-07-07,医药代表,4-01-05-02,医药商品购销员,0.9135,POTENTIALLY_CONFUSED,代表主攻学术推广，购销员主攻贸易流通。[医药代表]侧重医药产品等推广和客户开发，[医药商品购销员]主要是供销流程、合同履约等实际销售动作
5-04-99,其他渔业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9131,POTENTIALLY_CONFUSED,[其他渔业生产人员]仅限渔业，[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
4-01-02-01,营销员,4-02-07-07,邮政市场业务员,0.9128,POTENTIALLY_CONFUSED,通用营销对全行业，邮政业务员专攻邮政
2-06-11-07,基金专业人员,4-05-05,信托和资产管理服务人员,0.911,POTENTIALLY_CONFUSED,基金重投资运作，信托重资产托管管理。[基金专业人员]是咨询人员，[信托和资产管理服务人员]从事直接的业务服务
2-10-08,考古及文物保护专业人员,4-13-03,考古及文物保护作业人员,0.911,POTENTIALLY_CONFUSED,专业人员重研究，作业人员重实操。
1-01-00-01,中国共产党机关负责人,1-02-03,人民政府机关负责人,0.9109,POTENTIALLY_CONFUSED,党政分开：党机关管党务，政机关管政务。
1-01-00,中国共产党机关负责人,1-02-03,人民政府机关负责人,0.9109,POTENTIALLY_CONFUSED,党政分开：党机关管党务，政机关管政务。
6-01-03,制糖人员,6-02-02,糖制品加工人员,0.9107,POTENTIALLY_CONFUSED,制糖产原糖，糖制品做糖果。
5-04-99,其他渔业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9107,POTENTIALLY_CONFUSED,生产人员主责生产，辅助人员主责辅助。
6-18-01-02,铣工,6-20-01-03,齿轮制造工,0.9106,POTENTIALLY_CONFUSED,铣工加工平面曲面，齿轮工专攻齿形。
5-02-99,其他林业生产人员,5-99-00,其他农、林、牧、渔业生产及辅助人员,0.9103,POTENTIALLY_CONFUSED,[其他林业生产人员]仅限林业，[其他农、林、牧、渔业生产及辅助人员]涵盖农林牧渔全行业
5-05-06-01,园艺产品加工工,6-01-06-00,果蔬坚果加工工,0.9099,POTENTIALLY_CONFUSED,园艺侧重初加工，果蔬坚果侧重深加工
5-02-99,其他林业生产人员,5-05-99,其他农、林、牧、渔业生产辅助人员,0.9098,POTENTIALLY_CONFUSED,生产人员主业，辅助人员主辅。
2-02-02-01,大地测量工程技术人员 L/S,4-08-03-01,大地测量员L/S,0.9096,POTENTIALLY_CONFUSED,技术人员重设计处理，测量员重外业操作
2-03-09,农业工程技术人员,5-05-05,农机化服务人员,0.9094,POTENTIALLY_CONFUSED,技术人员搞研发设计，服务人员搞操作维修
2-06-08-02,人力资源服务专业人员,4-07-03,人力资源服务人员,0.9093,POTENTIALLY_CONFUSED,专业人员侧重第三方服务，服务人员含企业内部
3-01-03-02,劳动人事争议仲裁员,3-03-01-03,调解员,0.9093,POTENTIALLY_CONFUSED,仲裁员能裁决，调解员仅能调解。
2-03-99,其他农业技术人员,5-01-99,其他农业生产人员,0.9093,POTENTIALLY_CONFUSED,技术人员重研发管理，生产人员重体力劳动
2-09-04-03,美工师,4-07-07-02,装饰美工,0.9075,POTENTIALLY_CONFUSED,[美工师]是舞台造型设计，[装饰美工]是物料制作执行。[美工师]是舞台造型设计，[装饰美工]是会议与展览服务人员
7-01-00,军官(警官),7-02-00,军士(警士),0.9073,POTENTIALLY_CONFUSED,官为指挥管理，士为执行操作。
7-01-00-00,军官(警官),7-02-00,军士(警士),0.9073,POTENTIALLY_CONFUSED,官为指挥管理，士为执行操作。
2-02-16,民用航空工程技术人员,6-31-02,船舶、航空器修理人员,0.9069,POTENTIALLY_CONFUSED,[民用航空工程技术人员]侧重工程技术，[船舶、航空器修理人员]侧重具体修理维护。
6-23-03,航空产品装配、调试人员,6-31-02-04,航空发动机修理工,0.9063,POTENTIALLY_CONFUSED,装配调试侧重新造，修理工侧重维护修复。[航空发动机修理工]只修航空发动机；[航空产品装配、调试人员]覆盖航空发动机及其他航空产品的装配、调试。
6-18-02-02,锻造工,6-20-01-06,紧固件制造工,0.906,POTENTIALLY_CONFUSED,锻造工做大件成型，紧固件工专攻螺丝螺母。
6-10-01-08,石油产品精制工,6-11-02-12,芳香烃生产工,0.9049,POTENTIALLY_CONFUSED,[石油产品精制工]精制成品油，[芳香烃生产工]生产芳香烃
6-09-04-03,健身器材制作工,6-19-01-05,日用五金制品制作工,0.9046,POTENTIALLY_CONFUSED,健身器材看组装调试，日用五金看多样化小件。[健身器材制作工]对象限定为跑步机、力量器械等健身器材；[日用五金制品制作工]是锁具、餐厨五金等日用五金制品。
2-09-99,其他文学艺术、体育专业人员,2-10-99,其他新闻出版、文化专业人员,0.9045,POTENTIALLY_CONFUSED,文学艺术看创作，新闻出版看传播。
2-03-02-00,农业技术指导人员,5-05-01-01,农业技术员,0.9039,POTENTIALLY_CONFUSED,指导人员偏咨询培训，技术员偏现场示范
4-01-02-01,营销员,4-04-01-02,信息通信业务员,0.9031,POTENTIALLY_CONFUSED,[营销员]是通用营销，[信息通信业务员]是通信行业专项营销
1-01-00-02,中国共产党基层组织负责人,1-05-00,基层群众自治组织负责人,0.9029,POTENTIALLY_CONFUSED,党组织管党务，群众组织管村居政务。
2-02-02-03,摄影测量与遥感工程技术人员 L/S,4-08-03-02,摄影测量员L/S,0.9019,POTENTIALLY_CONFUSED,工程技术人员重管理指导，测量员重实操执行。[摄影测量与遥感工程技术人员 L/S]负责方案设计、数据解译和成果验收，[摄影测量员L/S]负责采集、成图等具体作业。
6-17-09-05,金属材热处理工,6-18-02-03,金属热处理工,0.9013,POTENTIALLY_CONFUSED,材工侧重板卷连续处理，工工侧重单件加工
2-02-10-07,信息安全工程技术人员 S,4-04-04-06,密码技术应用员S,0.9012,POTENTIALLY_CONFUSED,[信息安全工程技术人员 S]侧重综合安全，[密码技术应用员S]专注密码技术应用。
6-10-99,其他石油加工和炼焦、煤化工生产人员,6-11-99,其他化学原料和化学制品制造人员,0.9005,POTENTIALLY_CONFUSED,石油煤化工看能源，通用化学看原料。[其他石油加工和炼焦、煤化工生产人员]是限定在石油加工、炼焦、煤化工链条内的兜底项；[其他化学原料和化学制品制造人员]是其他化学原料和化学制品制造的兜底项。
6-02-05-01,味精制造工,6-12-05-02,发酵工程制药工,0.9004,POTENTIALLY_CONFUSED,味精产食品，制药工产药品，看产出物。
2-01-06-06,地球科学研究人员,2-02-01,地质勘探工程技术人员,0.9002,POTENTIALLY_CONFUSED,研究员重理论研究，勘探员重资源定位。[地球科学研究人员]研究地球系统演化规律等科学问题；[地质勘探工程技术人员]为矿产、能源、水文等资源勘探开发提供工程技术。
2-02-30-03,战略规划与管理工程技术人员,2-06-01-01,经济规划专业人员,0.8998,POTENTIALLY_CONFUSED,[战略规划与管理工程技术人员]侧重工程技术与流程，[经济规划专业人员]侧重经营资金计划
2-02-35-01,矫形器师,6-21-06,医疗器械制品和康复辅具生产人员,0.8997,POTENTIALLY_CONFUSED,[矫形器师]设计适配，[医疗器械制品和康复辅具生产人员]负责生产装配。[矫形器师]直面患者定方案；[医疗器械制品和康复辅具生产人员]是按图加工做生产。
4-10-99,其他居民服务人员,4-99-00,其他社会生产服务和生活服务人员,0.8996,POTENTIALLY_CONFUSED,居民服务侧重家庭，社会服务范围更广。[其他居民服务人员]是居民服务门类下的兜底项；[其他社会生产服务和生活服务人员]是整个4-01至4-14大类的总兜底项，辐射面更广。
3-02-03-07,森林火情瞭望观察员L,5-02-03-01,护林员 L,0.8992,POTENTIALLY_CONFUSED,瞭望员重监控侦察，护林员重巡护保护。[森林火情瞭望观察员L]多在固定瞭望点观察、报告火情；[护林员 L]要巡山护林，并兼顾资源保护和日常巡护。
6-29-03-02,电气设备安装工,6-31-01-10,机电设备维修工,0.8984,POTENTIALLY_CONFUSED,安装重在初次部署，维修重在运行维护。
6-21-05-02,耕种机械制造工,6-22-01-01,汽车生产线操作工,0.8976,POTENTIALLY_CONFUSED,看产品：耕种机械对比汽车
2-10-08-03,可移动文物保护专业人员,4-13-03-02,文物修复师,0.8974,POTENTIALLY_CONFUSED,[可移动文物保护专业人员]侧重研究方案，[文物修复师]侧重动手修复。[可移动文物保护专业人员]侧重研究方案，且只针对雕塑、书画、古籍等可移动文物；[文物修复师]侧重动手修复，客体包括不可移动文物，如壁画、古建筑、遗址内的固定文物。
6-22-99,其他汽车制造人员,6-99-00,其他生产制造及有关人员,0.8965,POTENTIALLY_CONFUSED,[其他汽车制造人员]属汽车行业，[其他生产制造及有关人员]属全行业通用。[其他汽车制造人员]只是汽车制造行业内的兜底项；[其他生产制造及有关人员]是全部生产制造职业的大兜底。
2-02-34-01,产品设计工程技术人员,4-08-08-26,工业设计工艺师S,0.896,POTENTIALLY_CONFUSED,[产品设计工程技术人员]侧重创意造型，[工业设计工艺师S]侧重技术实现与验证
1-01-00-01,中国共产党机关负责人,1-02-02,国家行政机关负责人,0.8958,POTENTIALLY_CONFUSED,党政分开：党机关管党务，行政机关管政务。
1-01-00,中国共产党机关负责人,1-02-02,国家行政机关负责人,0.8958,POTENTIALLY_CONFUSED,党政分开：党机关管党务，行政机关管政务。
6-17-09-04,金属材涂层机组操作工,6-18-03-03,涂装工,0.8933,POTENTIALLY_CONFUSED,[金属材涂层机组操作工]为连续机组大卷材，[涂装工]为离散工件喷涂
2-02-30-05,再生资源工程技术人员 L,4-01-04,再生物资回收人员,0.8932,POTENTIALLY_CONFUSED,[再生资源工程技术人员 L]是研发设计，[再生物资回收人员]是体力回收。
2-02-10-08,信息系统运行维护工程技术人员 S,4-04-05-09,信息系统适配验证师S,0.8931,POTENTIALLY_CONFUSED,[信息系统运行维护工程技术人员 S]重运行维护，[信息系统适配验证师S]重异构适配验证
2-02-06-03,化工生产工程技术人员,4-08-10-02,化工生产现场技术员,0.893,POTENTIALLY_CONFUSED,工程技术人员偏向规程制定，现场技术员偏向实操管控
6-24-08,电气信号设备装置制造人员,6-29-03-10,轨道交通信号工,0.8929,POTENTIALLY_CONFUSED,[电气信号设备装置制造人员]制造设备，[轨道交通信号工]安装维护设备。[电气信号设备装置制造人员]在工厂制造通信/信号设备；[轨道交通信号工]在轨道交通现场安装、调试、检修和维护信号系统。
2-02-01,地质勘探工程技术人员,4-08-07,地质勘查人员,0.8928,POTENTIALLY_CONFUSED,勘探侧重工程开发，勘查侧重调查评价。[地质勘探工程技术人员]主要为需要做技术分析的工程技术人员，勘探目标更聚焦于有开发价值的矿产油气；[地质勘查人员]主要为动脑做实地操作的工人和调查员，勘探目标除了矿产也包括地下水普通岩石地层等对象更宽泛的基础地质要素。
2-02-20-03,园林绿化工程技术人员 L,4-09-10-01,园林绿化工 L,0.8928,POTENTIALLY_CONFUSED,技术人员重规划设计，工人重施工养护。
6-24-08-00,轨道交通通信信号设备制造工,6-29-03-10,轨道交通信号工,0.8926,POTENTIALLY_CONFUSED,制造工在工厂组装，信号工在现场施工。
2-02-30-05,再生资源工程技术人员 L,6-27-01-00,再生物资加工处理工 L,0.8916,POTENTIALLY_CONFUSED,[再生资源工程技术人员 L]是研发设计，[再生物资加工处理工 L]是操作执行。[再生资源工程技术人员 L]是研发设计规划管理，[再生物资加工处理工 L]是操作执行处理维护。
6-11-07,合成橡胶生产人员,6-14-01,橡胶制品生产人员,0.8915,POTENTIALLY_CONFUSED,[合成橡胶生产人员]产橡胶原料，[橡胶制品生产人员]用橡胶做产品。
2-02-36-05,塑料加工工程技术人员,6-14-02,塑料制品加工人员,0.8915,POTENTIALLY_CONFUSED,技术人员搞研发设计，加工人员搞操作生产
6-09-01-07,墨水墨汁制造工,6-11-05-03,颜料生产工,0.8913,POTENTIALLY_CONFUSED,[墨水墨汁制造工]制成品(墨水)，[颜料生产工]制原料(颜料)
6-23-01,轨道交通运输设备制造人员,6-30-02,轨道交通运输机械设备操作人员,0.8908,POTENTIALLY_CONFUSED,[轨道交通运输设备制造人员]造设备，[轨道交通运输机械设备操作人员]用设备
2-06-12-05,版权专业人员,4-13-01-09,版权经纪人,0.8906,POTENTIALLY_CONFUSED,专业人员偏指导与管理，经纪人偏执行与代理。[版权经纪人]接受委托从事版权代理、交易撮合和授权谈判；[版权专业人员]更偏版权管理、咨询、登记、保护等专业工作。
2-03-08,水产技术人员,5-04-02,水产养殖人员,0.8905,POTENTIALLY_CONFUSED,技术人员重研发开发，养殖人员重饲养管理。
5-05-05-02,农机修理工,6-31-01-02,机修钳工,0.8902,POTENTIALLY_CONFUSED,农机修农机，钳工修通用设备
2-02-27-07,碳管理工程技术人员 L,4-09-07-04,碳排放管理员L,0.8902,POTENTIALLY_CONFUSED,[碳管理工程技术人员 L]侧重战略研发设计，[碳排放管理员L]侧重监测核算交易
6-10-01-05,石脑油加工工,6-11-02-11,脂肪烃生产工,0.89,POTENTIALLY_CONFUSED,[石脑油加工工]产芳烃/汽油，[脂肪烃生产工]产烷烯炔烃。[石脑油加工工]以石脑油为原料做裂解或深加工；[脂肪烃生产工]以生产乙烯、丙烯等脂肪烃为核心目标。
2-05-07-02,口腔修复技师,4-14-03-02,口腔修复体制作师,0.8897,POTENTIALLY_CONFUSED,[口腔修复技师]含诊疗科普，[口腔修复体制作师]纯粹是制作加工。[口腔修复技师]在医疗场景中配合诊疗，为患者做口内修复设计与适配；[口腔修复体制作师]主要在技工室等环境中制作义齿等修复体。
2-03-08-01,水产养殖技术人员,5-04-02-01,水生动物饲养工,0.8897,POTENTIALLY_CONFUSED,技术人员搞研发推广，饲养工负责具体操作。
2-10-08,考古及文物保护专业人员,4-13-03-02,文物修复师,0.889,POTENTIALLY_CONFUSED,[考古及文物保护专业人员]是综合研究与管理，[文物修复师]是具体修复操作。[考古及文物保护专业人员]包含考古、研究、保护、管理等整类工作；[文物修复师]只做文物修复这一个操作性工种。
2-03-02,农业技术指导人员,5-05-01,农业生产服务人员,0.8889,POTENTIALLY_CONFUSED,指导人员偏咨询开发，服务人员偏实操服务
6-18-04-06,工具钳工,6-20-01-01,装配钳工,0.8885,POTENTIALLY_CONFUSED,工具钳工造模具，装配钳工组零件
2-06-07-11,经纪与代理专业人员,4-01-03-04,二手车经纪人,0.8878,POTENTIALLY_CONFUSED,[经纪与代理专业人员]是通用类，[二手车经纪人]是二手车专项类。
2-02-31-05,纤维质量检验工程技术人员,4-08-05-02,纤维检验员,0.8877,POTENTIALLY_CONFUSED,工程技术人员重研发标准，检验员重执行检验
2-03-09-00,农业工程技术人员,5-05-05,农机化服务人员,0.8876,POTENTIALLY_CONFUSED,技术人员搞规划设计，服务人员搞操作维修
2-02-07,机械工程技术人员,6-26-01-01,仪器仪表制造工,0.887,POTENTIALLY_CONFUSED,技术人员重设计管理，制造工重动手装配。技术人员重设计研发管理，制造工重动手制造装配调适。
2-06-08,人力资源专业人员,4-07-03,人力资源服务人员,0.887,POTENTIALLY_CONFUSED,专业人员偏向规划管理，服务人员偏向执行操作。
6-15-06-01,耐火原料加工成型工,6-18-04-03,磨料制造工,0.8868,POTENTIALLY_CONFUSED,耐火看成型，磨料看提纯检测。[耐火原料加工成型工]产出的是耐火材料原料或坯体；[磨料制造工]产出的是砂轮、磨粒等磨料产品。
6-20-05-07,制冷空调设备装配工,6-29-03-05,制冷空调系统安装维修工,0.8867,POTENTIALLY_CONFUSED,装配工在工厂造设备，安装维修工在现场装系统
2-02-01-04,地质矿产调查工程技术人员,4-08-07,地质勘查人员,0.886,POTENTIALLY_CONFUSED,[地质矿产调查工程技术人员]侧重工程技术与标准，[地质勘查人员]侧重基础地质调查。[地质矿产调查工程技术人员]侧重矿产调查评价的工程技术方案、标准和成果；[地质勘查人员]是更宽泛的地质调查、勘查作业人员。
3-01-03-02,劳动人事争议仲裁员,3-03-01-01,仲裁员,0.8859,POTENTIALLY_CONFUSED,[劳动人事争议仲裁员]专攻劳动人事，[仲裁员]涵盖民商事纠纷。
6-11-08-10,有机硅生产工,6-17-08-02,多晶硅制取工,0.8857,POTENTIALLY_CONFUSED,有机硅产产品，多晶硅制高纯硅
4-08-02,海洋服务人员,4-09-02,水文服务人员,0.8857,POTENTIALLY_CONFUSED,海洋看海，水文看河湖。
1-01-00-01,中国共产党机关负责人,1-02-04-00,监察机关负责人,0.8855,POTENTIALLY_CONFUSED,党机关管党务，监察机关管监督。
1-01-00,中国共产党机关负责人,1-02-04,监察机关负责人,0.8855,POTENTIALLY_CONFUSED,党机关管党务，监察机关管监督。
